customer_id,sign_date,first_order_date,last_order_date,total_price,buy_cnt
USER_0449,2015-10-01,2019-12-13,2019-12-13,1301,12
USER_0628,2015-10-01,2019-06-13,2019-06-13,2237,19
USER_0188,2015-10-01,2019-06-27,2019-06-27,607,11
USER_0021,2015-10-01,2019-09-19,2019-09-20,1064,13
USER_1029,2015-10-01,2019-04-19,2019-04-19,225,1
USER_0991,2015-10-01,2019-12-06,2019-12-06,946,17
USER_0634,2015-10-01,2019-03-06,2019-08-07,750,16
USER_0060,2015-10-01,2019-02-02,2019-08-17,277,9
USER_0907,2015-10-01,2019-12-16,2019-12-16,3594,29
USER_1106,2015-10-01,2019-03-29,2019-03-30,3696,45
USER_0308,2015-10-01,2019-11-17,2019-11-17,290,8
USER_1000,2015-10-01,2019-02-04,2019-10-11,4587,59
USER_0605,2015-10-01,2019-08-10,2019-08-10,2708,27
USER_0028,2015-10-01,2019-08-24,2019-12-14,2468,18
USER_0759,2015-10-01,2019-06-01,2019-06-21,1614,20
USER_0244,2015-10-01,2019-05-12,2019-07-26,459,12
USER_0080,2015-10-01,2019-11-10,2019-11-10,2444,16
USER_0238,2015-10-01,2019-05-12,2019-10-24,5485,77
USER_0728,2015-10-01,2019-04-17,2019-04-17,2272,26
USER_0237,2015-10-01,2019-08-01,2019-08-01,1067,37
USER_0923,2015-10-01,2019-12-23,2019-12-24,760,3
USER_1277,2015-10-01,2019-01-03,2019-01-03,566,7
USER_0589,2015-10-01,2019-04-21,2019-11-16,7738,91
USER_0435,2015-10-01,2019-10-17,2019-10-17,10611,67
USER_1133,2015-10-01,2019-01-30,2019-01-30,18,1
USER_1367,2015-10-01,2019-03-19,2019-03-19,590,16
USER_1365,2015-10-01,2019-02-23,2019-12-11,3995,48
USER_0408,2015-10-01,2019-03-29,2019-07-14,4170,32
USER_1362,2015-11-01,2019-03-09,2019-03-09,3211,58
USER_0830,2015-11-01,2019-02-10,2019-11-25,8342,96
USER_0030,2015-11-01,2019-09-19,2019-09-19,9732,101
USER_0889,2015-11-01,2019-01-19,2019-01-19,2482,20
USER_1331,2015-11-01,2019-03-20,2019-10-30,6781,57
USER_1166,2015-11-01,2019-10-30,2019-10-30,1769,10
USER_0313,2015-11-01,2019-03-02,2019-03-02,482,9
USER_1107,2015-11-01,2019-11-22,2019-11-22,3703,30
USER_0156,2015-11-01,2019-01-12,2019-07-20,6038,59
USER_0977,2015-11-01,2019-03-27,2019-06-09,485,7
USER_0421,2015-11-01,2019-03-02,2019-03-02,5427,69
USER_0401,2015-11-01,2019-08-27,2019-08-27,385,18
USER_1025,2015-11-01,2019-06-19,2019-06-19,2350,21
USER_0976,2015-11-01,2019-08-22,2019-09-04,63,5
USER_0922,2015-11-01,2019-01-02,2019-01-02,846,12
USER_0946,2015-11-01,2019-01-06,2019-12-15,3898,42
USER_0763,2015-11-01,2019-12-13,2019-12-13,577,16
USER_1284,2015-11-01,2019-01-09,2019-01-09,152,4
USER_0323,2015-11-01,2019-06-25,2019-06-25,1873,20
USER_0411,2015-11-01,2019-12-16,2019-12-17,7393,55
USER_0485,2015-11-01,2019-06-17,2019-12-15,817,22
USER_1429,2015-11-01,2019-08-31,2019-08-31,3009,39
USER_1175,2015-11-01,2019-01-07,2019-01-07,328,2
USER_0683,2015-11-01,2019-01-01,2019-08-30,1042,6
USER_0039,2015-11-01,2019-04-11,2019-08-02,9966,46
USER_1215,2015-11-01,2019-04-02,2019-08-22,1606,17
USER_1428,2015-12-01,2019-03-26,2019-04-17,2170,18
USER_0745,2015-12-01,2019-01-10,2019-01-10,563,5
USER_0744,2015-12-01,2019-04-07,2019-04-07,72,5
USER_0122,2015-12-01,2019-03-01,2019-03-02,1086,16
USER_1062,2015-12-01,2019-02-09,2019-12-26,11226,133
USER_0514,2015-12-01,2019-10-13,2019-10-13,2781,32
USER_1045,2015-12-01,2019-06-13,2019-09-14,3489,52
USER_0988,2015-12-01,2019-11-30,2019-11-30,1207,20
USER_0540,2015-12-01,2019-05-21,2019-09-11,2032,27
USER_1248,2015-12-01,2019-03-24,2019-09-20,2090,37
USER_0549,2015-12-01,2019-10-27,2019-10-27,314,2
USER_0559,2015-12-01,2019-02-02,2019-02-02,190,3
USER_0402,2015-12-01,2019-05-13,2019-10-03,3074,32
USER_1262,2015-12-01,2019-03-19,2019-03-19,898,11
USER_0908,2015-12-01,2019-02-10,2019-09-14,7543,141
USER_0564,2015-12-01,2019-05-11,2019-05-11,6,1
USER_0063,2015-12-01,2019-11-16,2019-11-16,1608,11
USER_1118,2015-12-01,2019-02-04,2019-02-04,502,14
USER_0165,2015-12-01,2019-01-14,2019-10-27,4920,36
USER_0167,2015-12-01,2019-12-31,2019-12-31,3000,19
USER_1318,2015-12-01,2019-03-05,2019-06-21,490,19
USER_0181,2015-12-01,2019-05-22,2019-09-28,2104,15
USER_0107,2015-12-01,2019-02-08,2019-02-09,4937,24
USER_0813,2015-12-01,2019-06-19,2019-06-19,1163,31
USER_0740,2015-12-01,2019-04-19,2019-04-19,60,3
USER_0341,2015-12-01,2019-12-22,2019-12-23,4730,41
USER_0786,2015-12-01,2019-01-09,2019-01-09,7825,57
USER_0219,2015-12-01,2019-04-19,2019-04-19,219,3
USER_0696,2015-12-01,2019-08-25,2019-09-22,102,7
USER_0587,2015-12-01,2019-01-13,2019-09-15,3518,35
USER_0440,2015-12-01,2019-06-03,2019-06-03,702,12
USER_1414,2015-12-01,2019-06-09,2019-06-09,714,5
USER_0079,2015-12-01,2019-08-18,2019-08-18,61,2
USER_0303,2015-12-01,2019-04-07,2019-04-07,6423,15
USER_0996,2016-01-01,2019-01-11,2019-12-28,8469,62
USER_1259,2016-01-01,2019-07-18,2019-12-20,803,8
USER_0314,2016-01-01,2019-12-19,2019-12-19,899,10
USER_1360,2016-01-01,2019-04-12,2019-06-20,543,5
USER_0196,2016-01-01,2019-10-11,2019-10-11,1,1
USER_0531,2016-01-01,2019-01-13,2019-12-04,682,19
USER_0175,2016-01-01,2019-12-14,2019-12-14,557,3
USER_1400,2016-01-01,2019-06-11,2019-06-11,661,15
USER_0742,2016-01-01,2019-10-23,2019-10-23,5244,41
USER_0271,2016-01-01,2019-11-17,2019-11-17,1346,13
USER_0508,2016-01-01,2019-05-29,2019-09-18,10026,117
USER_0737,2016-01-01,2019-07-06,2019-07-07,524,17
USER_0228,2016-01-01,2019-10-18,2019-10-18,3251,19
USER_1144,2016-01-01,2019-06-07,2019-06-07,400,8
USER_1115,2016-01-01,2019-11-03,2019-11-04,2539,31
USER_1418,2016-01-01,2019-04-28,2019-06-20,1685,22
USER_0239,2016-01-01,2019-03-29,2019-12-13,1906,16
USER_1095,2016-01-01,2019-03-04,2019-04-07,554,13
USER_1466,2016-01-01,2019-10-23,2019-10-23,298,1
USER_1441,2016-01-01,2019-10-13,2019-10-13,753,15
USER_1012,2016-01-01,2019-03-29,2019-12-29,3571,39
USER_1168,2016-01-01,2019-08-09,2019-08-09,907,14
USER_0920,2016-01-01,2019-03-22,2019-03-22,801,8
USER_0806,2016-02-01,2019-01-18,2019-11-14,16226,157
USER_0642,2016-02-01,2019-03-20,2019-05-24,4871,48
USER_0569,2016-02-01,2019-12-05,2019-12-05,622,5
USER_0994,2016-02-01,2019-05-22,2019-05-23,4987,46
USER_1270,2016-02-01,2019-03-17,2019-05-22,1548,19
USER_0747,2016-02-01,2019-03-20,2019-03-20,978,12
USER_0570,2016-02-01,2019-05-16,2019-06-20,2934,42
USER_0254,2016-02-01,2019-03-27,2019-08-23,16579,46
USER_1198,2016-02-01,2019-05-03,2019-05-03,1908,39
