dt,SP_pu,RJ_pu,MG_pu
2016-09-15,1,0,0
2016-10-03,3,0,1
2016-10-04,21,9,9
2016-10-05,8,3,8
2016-10-06,17,6,2
2016-10-07,18,8,4
2016-10-08,12,6,2
2016-10-09,4,3,5
2016-10-10,10,5,3
2017-01-05,1,0,0
2017-01-06,1,0,2
2017-01-07,1,1,1
2017-01-08,1,2,0
2017-01-09,1,2,1
2017-01-10,1,2,0
2017-01-11,2,1,4
2017-01-12,5,0,3
2017-01-13,3,0,4
2017-01-14,5,2,4
2017-01-15,3,2,2
2017-01-16,7,1,3
2017-01-17,14,7,3
2017-01-18,10,5,4
2017-01-19,13,2,7
2017-01-20,14,2,4
2017-01-21,7,3,2
2017-01-22,15,5,4
2017-01-23,15,7,4
2017-01-24,16,2,4
2017-01-25,25,7,6
2017-01-26,30,9,11
2017-01-27,28,3,9
2017-01-28,7,3,3
2017-01-29,13,2,3
2017-01-30,16,7,7
2017-01-31,24,10,6
2017-02-01,22,10,8
2017-02-02,18,16,11
2017-02-03,18,5,6
2017-02-04,18,17,7
2017-02-05,29,9,9
2017-02-06,28,14,9
2017-02-07,45,14,20
2017-02-08,23,15,14
2017-02-09,26,18,7
2017-02-10,24,10,10
2017-02-11,18,3,7
2017-02-12,23,7,12
2017-02-13,19,10,14
2017-02-14,19,8,14
2017-02-15,24,8,9
2017-02-16,17,7,8
2017-02-17,13,3,6
2017-02-18,19,6,6
2017-02-19,18,0,4
2017-02-20,27,7,6
2017-02-21,12,6,5
2017-02-22,21,6,6
2017-02-23,21,8,4
2017-02-24,23,12,5
2017-02-25,16,1,8
2017-02-26,19,3,7
2017-02-27,18,3,5
2017-02-28,18,4,9
2017-03-01,42,8,10
2017-03-02,20,9,11
2017-03-03,27,11,9
2017-03-04,23,12,6
2017-03-05,21,8,10
2017-03-06,36,16,14
2017-03-07,23,17,12
2017-03-08,23,7,13
2017-03-09,32,14,12
2017-03-10,31,12,12
2017-03-11,28,8,8
2017-03-12,22,10,11
2017-03-13,36,18,14
2017-03-14,31,21,12
2017-03-15,44,9,9
2017-03-16,37,11,15
2017-03-17,23,8,9
2017-03-18,27,9,6
2017-03-19,28,10,6
2017-03-20,37,19,13
2017-03-21,37,12,12
2017-03-22,43,9,17
2017-03-23,42,13,19
2017-03-24,29,15,8
2017-03-25,23,19,9
2017-03-26,27,12,2
2017-03-27,39,11,13
2017-03-28,42,11,16
2017-03-29,32,5,11
2017-03-30,28,8,10
2017-03-31,20,13,9
2017-04-01,29,6,8
2017-04-02,28,8,11
2017-04-03,28,10,8
2017-04-04,46,12,8
2017-04-05,40,15,13
2017-04-06,33,13,13
2017-04-07,33,6,14
2017-04-08,24,7,4
2017-04-09,20,9,7
2017-04-10,32,13,12
2017-04-11,29,11,9
2017-04-12,34,6,1
2017-04-13,18,8,7
2017-04-14,15,5,5
2017-04-15,20,5,7
2017-04-16,14,3,3
2017-04-17,18,8,7
2017-04-18,25,7,3
2017-04-19,32,22,10
2017-04-20,31,10,14
2017-04-21,20,10,5
2017-04-22,24,12,10
2017-04-23,37,14,10
2017-04-24,45,18,14
2017-04-25,42,16,11
2017-04-26,47,16,14
2017-04-27,26,11,10
2017-04-28,29,17,11
2017-04-29,22,13,8
2017-04-30,22,9,7
2017-05-01,50,13,13
2017-05-02,40,15,16
2017-05-03,28,14,16
2017-05-04,41,15,9
2017-05-05,27,15,17
2017-05-06,39,21,11
2017-05-07,34,11,20
2017-05-08,42,15,10
2017-05-09,40,16,14
2017-05-10,42,16,11
2017-05-11,49,15,12
2017-05-12,47,9,10
2017-05-13,31,7,8
2017-05-14,42,12,9
2017-05-15,50,19,14
2017-05-16,59,24,16
2017-05-17,69,12,12
2017-05-18,50,16,17
2017-05-19,57,21,20
2017-05-20,28,7,12
2017-05-21,49,25,25
2017-05-22,61,16,10
2017-05-23,52,15,10
2017-05-24,54,22,7
2017-05-25,40,16,11
2017-05-26,22,15,9
2017-05-27,29,3,6
2017-05-28,41,9,12
2017-05-29,66,16,19
2017-05-30,31,16,10
2017-05-31,38,17,20
2017-06-01,56,13,11
2017-06-02,49,15,18
2017-06-03,35,12,9
2017-06-04,33,17,12
2017-06-05,60,19,11
2017-06-06,58,14,15
2017-06-07,41,13,12
2017-06-08,45,17,16
2017-06-09,42,16,12
2017-06-10,26,13,6
2017-06-11,41,13,11
2017-06-12,49,19,16
2017-06-13,43,14,15
2017-06-14,44,17,17
2017-06-15,37,14,10
2017-06-16,35,6,11
2017-06-17,31,12,5
2017-06-18,41,7,9
2017-06-19,57,15,23
2017-06-20,44,9,9
2017-06-21,22,4,5
2017-06-22,37,15,10
2017-06-23,43,14,11
2017-06-24,28,13,9
2017-06-25,40,15,7
2017-06-26,27,8,9
2017-06-27,59,19,15
2017-06-28,48,15,10
2017-06-29,57,8,11
2017-06-30,37,9,15
2017-07-01,24,11,12
2017-07-02,47,13,13
2017-07-03,44,21,7
2017-07-04,46,18,15
2017-07-05,54,21,15
2017-07-06,53,19,18
2017-07-07,41,22,10
2017-07-08,32,14,8
2017-07-09,38,9,6
2017-07-10,58,16,17
2017-07-11,68,17,18
2017-07-12,49,26,15
2017-07-13,44,21,11
2017-07-14,63,19,12
2017-07-15,40,11,10
2017-07-16,41,13,15
2017-07-17,61,18,27
2017-07-18,74,31,22
2017-07-19,60,26,17
2017-07-20,54,20,15
2017-07-21,48,12,8
2017-07-22,32,11,11
2017-07-23,45,14,8
2017-07-24,68,23,15
2017-07-25,61,10,15
2017-07-26,41,12,10
2017-07-27,46,24,11
2017-07-28,46,21,16
2017-07-29,42,10,20
2017-07-30,44,17,11
2017-07-31,55,19,23
2017-08-01,70,14,12
2017-08-02,65,25,15
2017-08-03,62,24,11
2017-08-04,49,15,9
2017-08-05,30,16,14
2017-08-06,33,20,13
2017-08-07,63,19,15
2017-08-08,49,25,21
2017-08-09,58,23,14
2017-08-10,58,19,17
2017-08-11,47,14,20
2017-08-12,36,13,12
2017-08-13,30,11,16
2017-08-14,72,19,14
2017-08-15,72,26,13
2017-08-16,67,15,21
2017-08-17,65,13,21
2017-08-18,69,18,17
2017-08-19,41,13,15
2017-08-20,41,12,8
2017-08-21,67,17,18
2017-08-22,55,16,15
2017-08-23,47,13,7
2017-08-24,52,13,13
2017-08-25,44,16,13
2017-08-26,35,9,7
2017-08-27,39,11,18
2017-08-28,53,18,16
2017-08-29,55,13,16
2017-08-30,57,29,18
2017-08-31,56,21,15
2017-09-01,57,19,19
2017-09-02,43,11,11
2017-09-03,43,23,15
2017-09-04,61,19,14
2017-09-05,54,15,22
2017-09-06,53,15,13
2017-09-07,34,16,11
2017-09-08,36,23,10
2017-09-09,40,18,9
2017-09-10,55,17,18
2017-09-11,66,24,20
2017-09-12,68,22,31
2017-09-13,74,27,26
2017-09-14,62,22,14
2017-09-15,55,19,20
2017-09-16,39,23,17
2017-09-17,33,18,21
2017-09-18,80,28,23
2017-09-19,53,25,11
2017-09-20,66,21,15
2017-09-21,53,16,17
2017-09-22,59,20,18
2017-09-23,27,17,6
2017-09-24,44,15,11
2017-09-25,49,18,11
2017-09-26,74,21,20
2017-09-27,52,26,14
2017-09-28,50,20,21
2017-09-29,40,10,10
2017-09-30,44,17,18
2017-10-01,49,11,16
2017-10-02,51,20,20
2017-10-03,76,25,23
2017-10-04,61,24,19
2017-10-05,57,18,21
2017-10-06,50,14,14
2017-10-07,34,19,11
2017-10-08,45,15,13
2017-10-09,59,30,26
2017-10-10,65,31,24
2017-10-11,62,18,20
2017-10-12,51,19,17
2017-10-13,40,23,18
2017-10-14,47,21,6
2017-10-15,46,26,16
2017-10-16,67,29,20
2017-10-17,79,25,15
2017-10-18,74,24,23
2017-10-19,62,27,23
2017-10-20,45,15,11
2017-10-21,40,17,14
2017-10-22,68,23,16
2017-10-23,63,19,18
2017-10-24,64,20,24
2017-10-25,49,27,19
2017-10-26,58,18,16
2017-10-27,51,18,16
2017-10-28,30,12,9
2017-10-29,48,19,18
2017-10-30,56,14,13
2017-10-31,62,23,15
2017-11-01,38,18,12
2017-11-02,51,12,12
2017-11-03,59,16,14
2017-11-04,38,14,16
2017-11-05,49,25,9
2017-11-06,69,29,17
2017-11-07,61,26,19
2017-11-08,77,14,22
2017-11-09,73,28,22
2017-11-10,65,25,19
2017-11-11,65,21,18
2017-11-12,71,18,19
2017-11-13,90,24,22
2017-11-14,70,25,20
2017-11-15,72,27,20
2017-11-16,92,30,23
2017-11-17,81,22,21
2017-11-18,53,14,12
2017-11-19,63,24,18
2017-11-20,83,27,25
2017-11-21,87,28,25
2017-11-22,75,29,27
2017-11-23,89,34,35
2017-11-24,429,162,160
2017-11-25,176,67,65
2017-11-26,152,55,60
2017-11-27,150,55,52
2017-11-28,159,56,51
2017-11-29,114,42,44
2017-11-30,108,36,38
2017-12-01,103,43,36
2017-12-02,95,29,29
2017-12-03,96,34,33
2017-12-04,129,56,40
2017-12-05,117,34,40
2017-12-06,102,37,36
2017-12-07,94,29,27
2017-12-08,86,32,22
2017-12-09,61,21,16
2017-12-10,72,32,24
2017-12-11,113,33,24
2017-12-12,103,32,41
2017-12-13,96,24,22
2017-12-14,80,25,18
2017-12-15,65,19,19
2017-12-16,52,19,17
2017-12-17,57,16,13
2017-12-18,78,32,25
2017-12-19,80,21,14
2017-12-20,62,25,23
2017-12-21,60,15,17
2017-12-22,49,12,11
2017-12-23,40,17,8
2017-12-24,24,5,4
2017-12-25,35,6,8
2017-12-26,78,21,14
2017-12-27,57,16,27
2017-12-28,60,20,23
2017-12-29,59,21,15
2017-12-30,41,12,14
2017-12-31,34,4,4
2018-01-01,25,9,10
2018-01-02,85,33,18
2018-01-03,88,34,24
2018-01-04,106,35,22
2018-01-05,70,24,23
2018-01-06,78,25,26
2018-01-07,95,28,16
2018-01-08,118,25,39
2018-01-09,98,24,31
2018-01-10,103,34,28
2018-01-11,95,36,43
2018-01-12,98,26,26
2018-01-13,94,17,26
2018-01-14,103,28,25
2018-01-15,127,31,34
2018-01-16,133,27,36
2018-01-17,115,26,35
2018-01-18,109,32,19
2018-01-19,90,25,34
2018-01-20,75,25,27
2018-01-21,81,16,17
2018-01-22,142,32,38
2018-01-23,104,31,41
2018-01-24,92,28,25
2018-01-25,89,23,33
2018-01-26,91,26,28
2018-01-27,74,19,11
2018-01-28,65,17,20
2018-01-29,99,29,18
2018-01-30,98,34,36
2018-01-31,107,41,28
2018-02-01,92,33,29
2018-02-02,83,17,39
2018-02-03,64,35,20
2018-02-04,76,24,21
2018-02-05,101,32,39
2018-02-06,106,34,33
2018-02-07,94,31,41
2018-02-08,94,25,32
2018-02-09,88,17,22
2018-02-10,67,21,24
2018-02-11,67,17,14
2018-02-12,101,18,20
2018-02-13,112,25,14
2018-02-14,112,37,38
2018-02-15,119,20,24
2018-02-16,80,28,28
2018-02-17,71,26,22
2018-02-18,86,33,20
2018-02-19,96,33,24
2018-02-20,105,43,34
2018-02-21,93,44,28
2018-02-22,113,32,35
2018-02-23,90,30,29
2018-02-24,70,31,22
2018-02-25,82,37,28
2018-02-26,100,43,32
2018-02-27,114,47,29
2018-02-28,104,50,34
2018-03-01,103,37,28
2018-03-02,97,38,35
2018-03-03,82,20,20
2018-03-04,88,31,35
2018-03-05,101,34,27
2018-03-06,103,37,43
2018-03-07,106,28,27
2018-03-08,98,33,31
2018-03-09,75,29,29
2018-03-10,59,29,24
2018-03-11,82,20,34
2018-03-12,84,33,28
2018-03-13,94,29,37
2018-03-14,83,21,30
2018-03-15,118,37,33
2018-03-16,99,31,29
2018-03-17,80,13,12
2018-03-18,97,28,14
2018-03-19,145,31,25
2018-03-20,123,33,36
2018-03-21,119,29,31
2018-03-22,112,18,36
2018-03-23,110,17,22
2018-03-24,78,11,24
2018-03-25,77,25,22
2018-03-26,118,40,27
2018-03-27,100,34,30
2018-03-28,99,25,17
2018-03-29,82,24,23
2018-03-30,66,25,19
2018-03-31,70,13,17
2018-04-01,93,19,21
2018-04-02,123,35,24
2018-04-03,119,21,27
2018-04-04,122,34,22
2018-04-05,123,22,35
2018-04-06,85,25,14
2018-04-07,75,18,15
2018-04-08,81,23,20
2018-04-09,108,32,30
2018-04-10,96,20,21
2018-04-11,119,23,37
2018-04-12,108,26,42
2018-04-13,76,26,23
2018-04-14,62,22,13
2018-04-15,105,20,24
2018-04-16,113,35,34
2018-04-17,106,38,32
2018-04-18,105,31,32
2018-04-19,115,36,41
2018-04-20,88,31,16
2018-04-21,66,24,18
2018-04-22,85,18,23
2018-04-23,122,25,29
2018-04-24,113,31,22
2018-04-25,117,42,29
2018-04-26,108,21,40
2018-04-27,104,30,30
2018-04-28,87,23,12
2018-04-29,64,23,22
2018-04-30,103,28,30
2018-05-01,104,27,33
2018-05-02,140,35,28
2018-05-03,127,46,28
2018-05-04,105,35,32
2018-05-05,87,20,17
2018-05-06,87,23,19
2018-05-07,163,38,42
2018-05-08,136,41,38
2018-05-09,135,53,41
2018-05-10,103,33,38
2018-05-11,99,33,31
2018-05-12,77,28,26
2018-05-13,85,29,21
2018-05-14,155,45,46
2018-05-15,159,45,45
2018-05-16,171,39,37
2018-05-17,113,26,27
2018-05-18,139,20,22
2018-05-19,79,18,10
2018-05-20,79,18,17
2018-05-21,110,18,23
2018-05-22,120,15,21
2018-05-23,79,13,13
2018-05-24,77,11,6
2018-05-25,54,13,9
2018-05-26,48,11,8
2018-05-27,44,13,9
2018-05-28,68,14,18
2018-05-29,69,22,15
2018-05-30,52,15,16
2018-05-31,63,15,15
2018-06-01,81,20,18
2018-06-02,62,24,18
2018-06-03,93,26,15
2018-06-04,109,26,22
2018-06-05,84,19,27
2018-06-06,94,28,27
2018-06-07,100,33,22
2018-06-08,85,23,24
2018-06-09,81,15,12
2018-06-10,93,19,20
2018-06-11,131,33,36
2018-06-12,105,40,29
2018-06-13,111,23,32
2018-06-14,94,18,30
2018-06-15,73,30,26
2018-06-16,59,23,26
2018-06-17,82,24,11
2018-06-18,105,31,28
2018-06-19,109,24,26
2018-06-20,101,20,22
2018-06-21,106,20,34
2018-06-22,82,18,15
2018-06-23,55,19,25
2018-06-24,103,18,17
2018-06-25,119,23,23
2018-06-26,98,27,36
2018-06-27,83,22,26
2018-06-28,111,22,29
2018-06-29,66,26,21
2018-06-30,58,12,12
2018-07-01,83,14,16
2018-07-02,92,24,20
2018-07-03,88,25,27
2018-07-04,127,28,28
2018-07-05,97,17,19
2018-07-06,63,15,15
2018-07-07,49,8,5
2018-07-08,53,11,9
2018-07-09,72,13,8
2018-07-10,66,8,8
2018-07-11,49,6,8
2018-07-12,43,12,7
2018-07-13,42,22,12
2018-07-14,33,27,19
2018-07-15,46,16,21
2018-07-16,78,27,32
2018-07-17,76,28,27
2018-07-18,118,37,38
2018-07-19,109,32,33
2018-07-20,109,29,23
2018-07-21,85,23,17
2018-07-22,98,23,30
2018-07-23,132,27,27
2018-07-24,114,33,28
2018-07-25,118,31,28
2018-07-26,112,24,24
2018-07-27,80,17,15
2018-07-28,68,19,21
2018-07-29,92,22,15
2018-07-30,151,28,30
2018-07-31,159,44,28
2018-08-01,133,39,41
2018-08-02,142,24,25
2018-08-03,138,34,39
2018-08-04,105,30,37
2018-08-05,130,27,34
2018-08-06,178,38,33
2018-08-07,164,44,45
2018-08-08,146,24,34
2018-08-09,139,33,26
2018-08-10,94,31,30
2018-08-11,77,30,14
2018-08-12,83,16,28
2018-08-13,139,35,29
2018-08-14,149,45,27
2018-08-15,137,29,33
2018-08-16,159,33,28
2018-08-17,113,34,22
2018-08-18,94,25,21
2018-08-19,105,31,23
2018-08-20,132,33,36
2018-08-21,133,22,30
2018-08-22,110,17,21
2018-08-23,89,18,15
2018-08-24,69,10,8
2018-08-25,51,5,7
2018-08-26,49,9,10
2018-08-27,58,2,2
2018-08-28,34,3,0
2018-08-29,9,0,1
