dt,revenue,pu,ARPPU
2016-09-15,135,1,135.00
2016-10-03,442,7,63.14
2016-10-04,8600,54,159.26
2016-10-05,6172,35,176.34
2016-10-06,5893,41,143.73
2016-10-07,6078,38,159.95
2016-10-08,7596,35,217.03
2016-10-09,2401,20,120.05
2016-10-10,3162,33,95.82
2016-12-23,11,1,11.00
2017-01-05,400,18,22.22
2017-01-06,916,4,229.00
2017-01-07,1352,4,338.00
2017-01-08,450,4,112.50
2017-01-09,675,5,135.00
2017-01-10,1435,6,239.17
2017-01-11,1856,10,185.60
2017-01-12,1480,12,123.33
2017-01-13,2451,10,245.10
2017-01-14,879,15,58.60
2017-01-15,2201,13,169.31
2017-01-16,3276,17,192.71
2017-01-17,3305,31,106.61
2017-01-18,3218,30,107.27
2017-01-19,3559,28,127.11
2017-01-20,4038,28,144.21
2017-01-21,2319,20,115.95
2017-01-22,3622,30,120.73
2017-01-23,6302,36,175.06
2017-01-24,5157,38,135.71
2017-01-25,7119,57,124.89
2017-01-26,12915,79,163.48
2017-01-27,11184,58,192.83
2017-01-28,5058,28,180.64
2017-01-29,5970,31,192.58
2017-01-30,10243,46,222.67
2017-01-31,10483,62,169.08
2017-02-01,7543,60,125.72
2017-02-02,8816,67,131.58
2017-02-03,9645,54,178.61
2017-02-04,13603,64,212.55
2017-02-05,8412,73,115.23
2017-02-06,9405,76,123.75
2017-02-07,13711,104,131.84
2017-02-08,11555,83,139.22
2017-02-09,8976,72,124.67
2017-02-10,13146,63,208.67
2017-02-11,4313,45,95.84
2017-02-12,14927,61,244.70
2017-02-13,10142,74,137.05
2017-02-14,10889,65,167.52
2017-02-15,6530,56,116.61
2017-02-16,5827,49,118.92
2017-02-17,6805,45,151.22
2017-02-18,7301,50,146.02
2017-02-19,3567,37,96.41
2017-02-20,7157,59,121.31
2017-02-21,8026,39,205.79
2017-02-22,5940,51,116.47
2017-02-23,6276,55,114.11
2017-02-24,6636,60,110.60
2017-02-25,3577,39,91.72
2017-02-26,5135,42,122.26
2017-02-27,5767,41,140.66
2017-02-28,10708,53,202.04
2017-03-01,12209,92,132.71
2017-03-02,11168,66,169.21
2017-03-03,12368,69,179.25
2017-03-04,8598,66,130.27
2017-03-05,6668,66,101.03
2017-03-06,8626,94,91.77
2017-03-07,11390,77,147.92
2017-03-08,13181,73,180.56
2017-03-09,10983,86,127.71
2017-03-10,11920,81,147.16
2017-03-11,10517,68,154.66
2017-03-12,6499,61,106.54
2017-03-13,16359,102,160.38
2017-03-14,13940,95,146.74
2017-03-15,14372,100,143.72
2017-03-16,14141,100,141.41
2017-03-17,11919,64,186.23
2017-03-18,16150,71,227.46
2017-03-19,6652,56,118.79
2017-03-20,16868,111,151.96
2017-03-21,11314,90,125.71
2017-03-22,14159,103,137.47
2017-03-23,16084,104,154.65
2017-03-24,10098,73,138.33
2017-03-25,9308,69,134.90
2017-03-26,6104,63,96.89
2017-03-27,16192,106,152.75
2017-03-28,11425,95,120.26
2017-03-29,8170,71,115.07
2017-03-30,9798,72,136.08
2017-03-31,12173,69,176.42
2017-04-01,17522,63,278.13
2017-04-02,9005,63,142.94
2017-04-03,8850,68,130.15
2017-04-04,12308,96,128.21
2017-04-05,18335,90,203.72
2017-04-06,19137,91,210.30
2017-04-07,12938,80,161.73
2017-04-08,8461,63,134.30
2017-04-09,7721,65,118.78
2017-04-10,11385,84,135.54
2017-04-11,6976,73,95.56
2017-04-12,7792,61,127.74
2017-04-13,9693,59,164.29
2017-04-14,6707,47,142.70
2017-04-15,8214,49,167.63
2017-04-16,5028,47,106.98
2017-04-17,7435,58,128.19
2017-04-18,21294,71,299.92
2017-04-19,11762,92,127.85
2017-04-20,12307,86,143.10
2017-04-21,8431,66,127.74
2017-04-22,12767,82,155.70
2017-04-23,9907,83,119.36
2017-04-24,13033,110,118.48
2017-04-25,13752,106,129.74
2017-04-26,15373,122,126.01
2017-04-27,9527,75,127.03
2017-04-28,15594,95,164.15
2017-04-29,11577,70,165.39
2017-04-30,7985,66,120.98
2017-05-01,11796,109,108.22
2017-05-02,17312,122,141.90
2017-05-03,10044,101,99.45
2017-05-04,13498,105,128.55
2017-05-05,13632,103,132.35
2017-05-06,14339,100,143.39
2017-05-07,16309,100,163.09
2017-05-08,15880,120,132.33
2017-05-09,20534,119,172.55
2017-05-10,20451,107,191.13
2017-05-11,18065,123,146.87
2017-05-12,11665,103,113.25
2017-05-13,8358,66,126.64
2017-05-14,14261,108,132.05
2017-05-15,17689,146,121.16
2017-05-16,21060,146,144.25
2017-05-17,18142,138,131.46
2017-05-18,18216,122,149.31
2017-05-19,17497,135,129.61
2017-05-20,10544,70,150.63
2017-05-21,17184,141,121.87
2017-05-22,23977,142,168.85
2017-05-23,17255,120,143.79
2017-05-24,23323,137,170.24
2017-05-25,15092,102,147.96
2017-05-26,10420,76,137.11
2017-05-27,13346,76,175.61
2017-05-28,9272,98,94.61
2017-05-29,17684,150,117.89
2017-05-30,13508,98,137.84
2017-05-31,19238,118,163.03
2017-06-01,19294,121,159.45
2017-06-02,18603,121,153.74
2017-06-03,10442,88,118.66
2017-06-04,13701,98,139.81
2017-06-05,23214,140,165.81
2017-06-06,13569,124,109.43
2017-06-07,12507,121,103.36
