dt,customer_state,pu
2016-09-15,SP,1
2016-10-03,GO,1
2016-10-03,MG,1
2016-10-03,RS,2
2016-10-03,SP,3
2016-10-04,BA,1
2016-10-04,CE,1
2016-10-04,ES,1
2016-10-04,MG,9
2016-10-04,MT,1
2016-10-04,PA,2
2016-10-04,PE,1
2016-10-04,PR,3
2016-10-04,RJ,9
2016-10-04,RN,1
2016-10-04,RS,2
2016-10-04,SC,2
2016-10-04,SP,21
2016-10-05,CE,1
2016-10-05,DF,1
2016-10-05,GO,1
2016-10-05,MA,1
2016-10-05,MG,8
2016-10-05,PA,1
2016-10-05,PE,3
2016-10-05,PR,3
2016-10-05,RJ,3
2016-10-05,RS,4
2016-10-05,SC,1
2016-10-05,SP,8
2016-10-06,CE,1
2016-10-06,DF,2
2016-10-06,ES,1
2016-10-06,GO,3
2016-10-06,MG,2
2016-10-06,PR,4
2016-10-06,RJ,6
2016-10-06,RN,1
2016-10-06,RS,2
2016-10-06,SC,2
2016-10-06,SP,17
2016-10-07,AL,1
2016-10-07,MG,4
2016-10-07,PR,3
2016-10-07,RJ,8
2016-10-07,RN,1
2016-10-07,RS,2
2016-10-07,SE,1
2016-10-07,SP,18
2016-10-08,BA,1
2016-10-08,CE,2
2016-10-08,DF,2
2016-10-08,ES,1
2016-10-08,GO,2
2016-10-08,MA,1
2016-10-08,MG,2
2016-10-08,PA,1
2016-10-08,PE,2
2016-10-08,PI,1
2016-10-08,PR,1
2016-10-08,RJ,6
2016-10-08,SC,1
2016-10-08,SP,12
2016-10-09,CE,1
2016-10-09,MG,5
2016-10-09,PR,3
2016-10-09,RJ,3
2016-10-09,RS,2
2016-10-09,SC,2
2016-10-09,SP,4
2016-10-10,BA,1
2016-10-10,DF,1
2016-10-10,MA,2
2016-10-10,MG,3
2016-10-10,PB,1
2016-10-10,PR,2
2016-10-10,RJ,5
2016-10-10,RN,1
2016-10-10,RR,1
2016-10-10,RS,3
2016-10-10,SC,1
2016-10-10,SE,2
2016-10-10,SP,10
2016-12-23,PR,1
2017-01-05,BA,1
2017-01-05,ES,1
2017-01-05,PR,15
2017-01-05,SP,1
2017-01-06,MG,2
2017-01-06,RN,1
2017-01-06,SP,1
2017-01-07,MG,1
2017-01-07,PR,1
2017-01-07,RJ,1
2017-01-07,SP,1
2017-01-08,RJ,2
2017-01-08,SC,1
2017-01-08,SP,1
2017-01-09,MG,1
2017-01-09,PR,1
2017-01-09,RJ,2
2017-01-09,SP,1
2017-01-10,ES,1
2017-01-10,RJ,2
2017-01-10,SC,1
2017-01-10,SE,1
2017-01-10,SP,1
2017-01-11,MG,4
2017-01-11,PR,1
2017-01-11,RJ,1
2017-01-11,RS,1
2017-01-11,SC,1
2017-01-11,SP,2
2017-01-12,CE,1
2017-01-12,GO,1
2017-01-12,MG,3
2017-01-12,PA,1
2017-01-12,PR,1
2017-01-12,SP,5
2017-01-13,CE,1
2017-01-13,DF,1
2017-01-13,MG,4
2017-01-13,SC,1
2017-01-13,SP,3
2017-01-14,DF,3
2017-01-14,GO,1
2017-01-14,MG,4
2017-01-14,RJ,2
2017-01-14,SP,5
2017-01-15,BA,1
2017-01-15,DF,1
2017-01-15,MG,2
2017-01-15,PR,1
2017-01-15,RJ,2
2017-01-15,RS,1
2017-01-15,SC,2
2017-01-15,SP,3
2017-01-16,BA,1
2017-01-16,DF,1
2017-01-16,GO,1
2017-01-16,MG,3
2017-01-16,RJ,1
2017-01-16,RN,1
2017-01-16,RS,2
2017-01-16,SP,7
2017-01-17,BA,2
2017-01-17,MG,3
2017-01-17,PA,1
2017-01-17,PB,1
2017-01-17,PR,1
2017-01-17,RJ,7
2017-01-17,RS,1
2017-01-17,SC,1
2017-01-17,SP,14
2017-01-18,ES,2
2017-01-18,MG,4
2017-01-18,MT,1
2017-01-18,PE,2
2017-01-18,PI,1
2017-01-18,RJ,5
2017-01-18,RN,1
2017-01-18,RS,2
2017-01-18,SC,2
2017-01-18,SP,10
2017-01-19,DF,1
2017-01-19,MG,7
2017-01-19,PA,1
2017-01-19,PE,1
2017-01-19,PR,1
2017-01-19,RJ,2
2017-01-19,RN,1
2017-01-19,RS,1
2017-01-19,SP,13
2017-01-20,ES,2
2017-01-20,GO,1
2017-01-20,MG,4
2017-01-20,PI,1
2017-01-20,PR,1
2017-01-20,RJ,2
2017-01-20,RS,2
2017-01-20,SC,1
2017-01-20,SP,14
2017-01-21,AC,1
2017-01-21,DF,1
2017-01-21,GO,1
2017-01-21,MA,1
2017-01-21,MG,2
2017-01-21,PA,1
2017-01-21,PE,1
2017-01-21,RJ,3
2017-01-21,RS,1
2017-01-21,SC,1
2017-01-21,SP,7
2017-01-22,CE,1
2017-01-22,DF,1
2017-01-22,MG,4
2017-01-22,MS,1
2017-01-22,PR,1
2017-01-22,RJ,5
2017-01-22,RS,1
2017-01-22,SC,1
2017-01-22,SP,15
2017-01-23,GO,1
2017-01-23,MG,4
2017-01-23,MT,1
2017-01-23,PA,1
2017-01-23,PI,1
2017-01-23,PR,2
2017-01-23,RJ,7
2017-01-23,RS,2
2017-01-23,SC,1
2017-01-23,SP,15
2017-01-23,TO,1
2017-01-24,BA,2
2017-01-24,CE,1
2017-01-24,GO,1
2017-01-24,MA,1
2017-01-24,MG,4
2017-01-24,MT,2
2017-01-24,PA,1
2017-01-24,PE,1
2017-01-24,PR,1
2017-01-24,RJ,2
2017-01-24,RS,3
2017-01-24,SC,1
2017-01-24,SE,1
2017-01-24,SP,16
2017-01-24,TO,1
2017-01-25,AL,1
2017-01-25,BA,5
2017-01-25,GO,2
2017-01-25,MA,2
2017-01-25,MG,6
2017-01-25,MT,1
2017-01-25,PR,3
2017-01-25,RJ,7
2017-01-25,RO,1
2017-01-25,RS,4
2017-01-25,SP,25
2017-01-26,BA,3
2017-01-26,DF,3
2017-01-26,ES,1
2017-01-26,GO,1
2017-01-26,MA,1
2017-01-26,MG,11
2017-01-26,MT,1
2017-01-26,PR,3
2017-01-26,RJ,9
2017-01-26,RO,1
2017-01-26,RS,12
2017-01-26,SC,3
2017-01-26,SP,30
2017-01-27,BA,1
2017-01-27,CE,1
2017-01-27,ES,1
2017-01-27,GO,2
2017-01-27,MA,1
2017-01-27,MG,9
2017-01-27,MT,2
2017-01-27,PA,2
2017-01-27,PR,1
2017-01-27,RJ,3
2017-01-27,RO,1
2017-01-27,RS,5
2017-01-27,SC,1
2017-01-27,SP,28
2017-01-28,BA,3
2017-01-28,DF,1
2017-01-28,GO,2
2017-01-28,MG,3
2017-01-28,MT,1
2017-01-28,PE,2
2017-01-28,PI,1
2017-01-28,PR,1
2017-01-28,RJ,3
2017-01-28,RS,4
2017-01-28,SP,7
2017-01-29,BA,1
2017-01-29,GO,2
2017-01-29,MG,3
2017-01-29,PR,4
2017-01-29,RJ,2
2017-01-29,RN,1
2017-01-29,RS,3
2017-01-29,SC,2
2017-01-29,SP,13
2017-01-30,BA,1
2017-01-30,CE,1
2017-01-30,GO,1
2017-01-30,MG,7
2017-01-30,PA,2
2017-01-30,PI,1
2017-01-30,PR,4
2017-01-30,RJ,7
2017-01-30,RS,2
2017-01-30,SC,4
2017-01-30,SP,16
2017-01-31,AL,1
2017-01-31,BA,2
2017-01-31,CE,2
2017-01-31,ES,1
2017-01-31,MG,6
2017-01-31,PB,1
2017-01-31,PE,2
2017-01-31,PI,2
2017-01-31,PR,5
2017-01-31,RJ,10
2017-01-31,RS,2
2017-01-31,SC,2
2017-01-31,SE,2
2017-01-31,SP,24
2017-02-01,AL,1
2017-02-01,BA,2
2017-02-01,CE,1
2017-02-01,DF,1
2017-02-01,MA,1
2017-02-01,MG,8
2017-02-01,MT,1
2017-02-01,PA,1
2017-02-01,PB,1
2017-02-01,PE,1
2017-02-01,PR,5
2017-02-01,RJ,10
2017-02-01,RS,3
2017-02-01,SC,2
2017-02-01,SP,22
2017-02-02,AM,1
2017-02-02,AP,1
2017-02-02,BA,5
2017-02-02,CE,1
2017-02-02,ES,2
2017-02-02,MG,11
2017-02-02,MT,1
2017-02-02,PA,1
2017-02-02,PB,1
2017-02-02,PE,1
2017-02-02,PR,1
2017-02-02,RJ,16
2017-02-02,RS,6
2017-02-02,SE,1
2017-02-02,SP,18
2017-02-03,AL,2
2017-02-03,BA,3
2017-02-03,ES,1
2017-02-03,GO,1
2017-02-03,MG,6
2017-02-03,PA,1
2017-02-03,PE,1
2017-02-03,PI,1
2017-02-03,PR,5
2017-02-03,RJ,5
2017-02-03,RR,2
2017-02-03,RS,4
2017-02-03,SC,4
2017-02-03,SP,18
2017-02-04,AM,1
2017-02-04,BA,2
